name,type,diameter,distance,constellation
Milky Way,Spiral Galaxy,140000,N/A,Sagittarius
Andromeda Galaxy (M31),Spiral Galaxy,220000,2.5 million,Andromeda
Triangulum Galaxy (M33),Spiral Galaxy,50000,2.7 million,Triangulum
Whirlpool Galaxy (M51),Spiral Galaxy,100000,23 million,Canes Venatici
Sombrero Galaxy (M104),Spiral Galaxy,50000,28 million,Virgo
Large Magellanic Cloud,Irregular Galaxy,14000,163.000,Dorado and Mensa
Small Magellanic Cloud,Irregular Galaxy,7000,200.000,Tucana
Pinwheel Galaxy (M101),Spiral Galaxy,170000,21 million,Ursa Majo
Black Eye Galaxy (M64),Spiral Galaxy,60000,24 million,Coma Berenices
Cigar Galaxy (M82),Starburst Galaxy,5200,12 million,Ursa Major
