name,type,diameter,distance_from_planet,planet_name,radius
Luna,3474.2 km,384400 km,Earth,1737.4
Phobos,22.2 km,9378 km,Mars,11.1
Deimos,12.4 km,23460 km,Mars,6.2
Io,3643.2 km,421700 km,Jupiter,1821.3
Europa,3121.6 km,671100 km,Jupiter,1560.8
Ganymede,5262.4 km,1070400 km,Jupiter,2631.2
Callisto,4820.6 km,1882700 km,Jupiter,2403.8
Mimas,396.4 km,185539 km,Saturn,198.2
Enceladus,504.2 km,238037 km,Saturn,252.1
Tethys,1070.4 km,294619 km,Saturn,535.2
Dione,1122.8 km,377415 km,Saturn,561.4
Rhea,1527.6 km,527108 km,Saturn,763.8
Titan,5150.0 km,1221865 km,Saturn,2575.0
Hyperion,266.0 km,1481100 km,Saturn,133.0
Iapetus,1468.0 km,3560820 km,Saturn,734.5
Miranda,472.6 km,129780 km,Uranus,236.3
Ariel,1157.8 km,191020 km,Uranus,578.9
Umbriel,1169.4 km,266300 km,Uranus,584.7
Titania,1577.8 km,435910 km,Uranus,788.9
Oberon,1522.8 km,583520 km,Uranus,761.4
